purchase_dow,purchase_month,year,product_size_cm3,product_weight_g,geolocation_state_customer,geolocation_state_seller,distance,wait_time,est_wait_time,delay
0,10,2017,1976.0,500.0,0,0,0.0,8,15,0
1,7,2018,4693.0,400.0,1,1,0.0,13,19,0
2,8,2018,9576.0,420.0,0,0,0.0,9,26,0
5,11,2017,6000.0,450.0,1,1,0.0,13,26,0
1,2,2018,11475.0,250.0,0,0,0.0,2,12,0
6,7,2017,42250.0,7150.0,0,0,0.0,16,22,0
1,5,2017,4352.0,50.0,0,0,0.0,9,21,0
0,1,2017,18375.0,300.0,0,0,0.0,9,41,0
5,7,2017,72324.0,9750.0,0,0,0.0,18,24,0
1,5,2017,39312.0,18000.0,2,2,0.0,12,21,0
1,5,2017,39312.0,18000.0,2,2,0.0,12,21,0
3,7,2017,9261.0,325.0,3,3,0.0,5,25,0
3,6,2018,4352.0,450.0,0,0,0.0,12,40,0
2,7,2018,2560.0,200.0,0,0,0.0,4,13,0
3,3,2018,8400.0,583.0,4,4,0.0,11,19,0
3,6,2018,8000.0,150.0,5,5,0.0,13,26,0
1,1,2018,125000.0,20850.0,0,0,0.0,17,34,0
1,12,2017,816.0,300.0,0,0,0.0,12,33,0
1,11,2017,4800.0,250.0,0,0,0.0,6,19,0
3,10,2017,3344.0,325.0,0,0,0.0,13,27,0
0,9,2017,4368.0,525.0,0,0,0.0,21,9,1
3,3,2018,3960.0,250.0,0,0,0.0,4,13,0
5,2,2018,2800.0,200.0,0,0,0.0,4,17,0
0,1,2018,81620.0,14950.0,0,0,0.0,18,43,0
3,8,2018,10725.0,600.0,0,0,0.0,4,7,0
1,2,2018,4224.0,500.0,0,0,0.0,28,19,1
0,3,2018,1512.0,200.0,0,0,0.0,9,15,0
2,5,2018,1632.0,292.0,0,0,0.0,14,20,0
6,2,2018,8000.0,850.0,6,6,0.0,30,46,0
3,8,2017,98560.0,16450.0,0,0,0.0,8,12,0
0,4,2018,5967.0,100.0,0,0,0.0,18,28,0
1,12,2017,8349.0,3000.0,6,6,0.0,22,26,0
5,2,2018,19166.0,800.0,0,0,0.0,18,31,0
6,7,2018,4608.0,425.0,0,0,0.0,1,7,0
5,2,2018,36000.0,850.0,0,0,0.0,30,30,0
2,2,2018,4000.0,1207.0,0,0,0.0,20,35,0
0,7,2017,2016.0,200.0,1,1,0.0,7,21,0
4,6,2018,9570.0,683.0,6,6,0.0,17,45,0
0,3,2018,4800.0,700.0,0,0,0.0,10,16,0
4,5,2017,8000.0,6050.0,1,1,0.0,11,23,0
4,11,2017,43928.0,14300.0,4,4,0.0,33,26,1
4,8,2017,10500.0,281.0,4,4,0.0,7,27,0
5,8,2018,21000.0,450.0,0,0,0.0,9,39,0
3,5,2017,24080.0,8875.0,2,2,0.0,10,21,0
6,5,2017,4800.0,650.0,0,0,0.0,10,28,0
3,5,2018,15000.0,2600.0,0,0,0.0,3,7,0
6,7,2018,5508.0,1150.0,0,0,0.0,4,14,0
2,8,2017,8000.0,450.0,4,4,0.0,6,21,0
3,2,2018,1936.0,1700.0,0,0,0.0,12,21,0
1,6,2018,8976.0,410.0,3,3,0.0,7,23,0
3,7,2018,4840.0,200.0,0,0,0.0,5,20,0
3,7,2018,4840.0,200.0,0,0,0.0,5,20,0
4,12,2017,2618.0,394.0,0,0,0.0,19,31,0
3,8,2017,14000.0,950.0,0,0,0.0,4,19,0
0,6,2018,4693.0,400.0,7,7,0.0,7,34,0
0,6,2018,8000.0,350.0,6,6,0.0,3,23,0
4,3,2018,1672.0,300.0,0,0,0.0,24,23,1
4,3,2018,1672.0,300.0,0,0,0.0,24,23,1
0,3,2017,18000.0,1200.0,0,0,0.0,23,16,1
1,6,2017,48000.0,5950.0,6,6,0.0,5,22,0
3,11,2017,15600.0,949.0,0,0,0.0,4,17,0
6,8,2018,3850.0,450.0,8,8,0.0,5,9,0
2,11,2017,10920.0,1813.0,0,0,0.0,7,19,0
0,2,2018,2873.0,150.0,0,0,0.0,18,21,0
6,1,2018,36000.0,20000.0,6,6,0.0,9,37,0
6,1,2018,36000.0,20000.0,6,6,0.0,9,37,0
5,2,2018,2380.0,125.0,5,5,0.0,10,29,0
0,6,2018,4224.0,600.0,0,0,0.0,4,24,0
0,6,2018,4224.0,600.0,0,0,0.0,4,24,0
0,6,2018,4224.0,600.0,0,0,0.0,4,24,0
0,6,2018,4224.0,600.0,0,0,0.0,4,24,0
2,6,2018,1936.0,1200.0,0,0,0.0,5,12,0
6,7,2018,2873.0,150.0,0,0,0.0,9,17,0
2,9,2017,16920.0,500.0,0,0,0.0,3,11,0
4,4,2018,42000.0,7350.0,0,0,0.0,6,24,0
3,2,2018,2736.0,250.0,7,7,0.0,9,19,0
0,2,2017,3200.0,500.0,7,7,0.0,17,28,0
3,4,2017,104720.0,3525.0,0,0,0.0,19,21,0
3,4,2017,104720.0,3525.0,0,0,0.0,19,21,0
3,4,2017,104720.0,3525.0,0,0,0.0,19,21,0
3,4,2017,104720.0,3525.0,0,0,0.0,19,21,0
3,4,2017,104720.0,3525.0,0,0,0.0,19,21,0
4,9,2017,7920.0,800.0,0,0,0.0,10,25,0
4,9,2017,7920.0,800.0,0,0,0.0,10,25,0
5,7,2018,816.0,300.0,0,0,0.0,9,10,0
2,8,2017,2112.0,600.0,6,6,0.0,6,21,0
6,8,2018,1280.0,700.0,0,0,0.0,2,3,0
6,8,2018,1280.0,700.0,0,0,0.0,2,3,0
6,7,2017,4500.0,100.0,0,0,0.0,2,16,0
4,12,2017,528.0,100.0,0,0,0.0,18,27,0
